Nome,Categoria,Telefone,Website,Endereço,Avaliação,Total Avaliações,Latitude,Longitude,Link do Maps
Elizabeth Guedes,,(96) 99112-3933,https://www.instagram.com/lugardaescutaap/,"R. Pedro Salvador Diniz, 1297 - Nova Brasília, Santana - AP, 68927-302",,,,,https://www.google.com/maps/place/Elizabeth+Guedes/data=!4m7!3m6!1s0x929e1d1e60cfaec3:0xe7688a79391c7032!8m2!3d-0.0436323!4d-51.1671785!16s%2Fg%2F11n3c7vj2m!19sChIJw67PYB4dnpIRMnAcOXmKaOc?authuser=0&hl=pt-BR&rclk=1
Psicóloga Vera Lucia Lehnen,,(96) 99126-0935,https://veralucialehnenpsicologa.com.br/,"R. Gen. Rondon, 871 - Laguinho, Macapá - AP, 68900-082","5,0",250,,,https://www.google.com/maps/place/Psic%C3%B3loga+Vera+Lucia+Lehnen/data=!4m7!3m6!1s0x8d61e106c2ce1f67:0x3b3fe89e927dab20!8m2!3d0.0446818!4d-51.0544239!16s%2Fg%2F1ptyhh8vk!19sChIJZx_OwgbhYY0RIKt9kp7oPzs?authuser=0&hl=pt-BR&rclk=1
Daiane Nunes Psicóloga,,(96) 99157-5703,https://www.instagram.com/centrodeespecialidades_/,"R. Adalvaro Alves Cavalcante, 1091 - Nova Brasília, Santana - AP, 68927-290","5,0",19,,,https://www.google.com/maps/place/Daiane+Nunes+Psic%C3%B3loga/data=!4m7!3m6!1s0x929e1d231285c1eb:0x2b2e223eb02e4c96!8m2!3d-0.0398527!4d-51.1679721!16s%2Fg%2F11wp_6bcp2!19sChIJ68GFEiMdnpIRlkwusD4iLis?authuser=0&hl=pt-BR&rclk=1
"Clínica Integrare - Psicologia, Psiquiatria e Nutrição",,(96) 3242-6365,https://www.instagram.com/institutointegrare/,"Av. Almirante Barroso, 2721 - Central, Macapá - AP, 68900-041","4,9",173,,,"https://www.google.com/maps/place/Cl%C3%ADnica+Integrare+-+Psicologia,+Psiquiatria+e+Nutri%C3%A7%C3%A3o/data=!4m7!3m6!1s0x8d61e16e5ee41881:0xca110d506004e98d!8m2!3d0.0378349!4d-51.0816769!16s%2Fg%2F11b6_gsjdx!19sChIJgRjkXm7hYY0RjekEYFANEco?authuser=0&hl=pt-BR&rclk=1"
Pendular consultório de psicologia,,(96) 99177-7573,,"Av. Rio Branco, 1041 - A - Hospitalidade, Santana - AP, 68925-153","5,0",3,-0.0441045,-51.1706342,"https://www.google.com/maps/place/Pendular+consult%C3%B3rio+de+psicologia/@-0.0441045,-51.1706342,17z/data=!3m1!4b1!4m6!3m5!1s0x929e1d1485250eed:0xc931359ad9a98567!8m2!3d-0.0441045!4d-51.1706342!16s%2Fg%2F11yyjg90f7?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Consultório de Psicologia Cleidiane Lima,,(96) 98134-7722,,"Av. Cônego Domingos Maltês, 1053B - Trem, Macapá - AP, 68901-050","5,0",62,0.0284945,-51.065033,"https://www.google.com/maps/place/Consult%C3%B3rio+de+Psicologia+Cleidiane+Lima/@0.0284945,-51.065033,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1a4e907a05b:0xf7ec53fe4b35494a!8m2!3d0.0284945!4d-51.065033!16s%2Fg%2F11dflf345v?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Psicólogo Huelton Sósinho,,(96) 99125-1066,,"TRÊS - Remédios, Santana - AP, 68925-030",,,-0.0475084,-51.1603379,"https://www.google.com/maps/place/Psic%C3%B3logo+Huelton+S%C3%B3sinho/@-0.0475084,-51.1603379,17z/data=!3m1!4b1!4m6!3m5!1s0x929e1dd507bea7cf:0xa91d09ea7ba6fa82!8m2!3d-0.0475084!4d-51.1603379!16s%2Fg%2F11qpvk819q?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Psicóloga Gleydiane Muniz,,(96) 99105-2653,http://beacons.ai/gleydianemuniz,"Av. Almirante Barroso, 1210 - Central, Macapá - AP, 68900-041","5,0",94,,,https://www.google.com/maps/place/Psic%C3%B3loga+Gleydiane+Muniz/data=!4m7!3m6!1s0x8d61e14258bf96e9:0x97d9c335ceb21288!8m2!3d0.0373005!4d-51.0680348!16s%2Fg%2F11js5fsvpq!19sChIJ6Za_WELhYY0RiBKyzjXD2Zc?authuser=0&hl=pt-BR&rclk=1
Psicóloga/Neuropsicóloga Ana Carolina Sosinho,,(96) 98423-3268,,"Rua Osvaldo Cruz 225 Santana e Macapá - Paraíso, Santana - AP, 68925-000","5,0",2,-0.03204,-51.1775092,"https://www.google.com/maps/place/Psic%C3%B3loga%2FNeuropsic%C3%B3loga+Ana+Carolina+Sosinho/@-0.03204,-51.1775092,17z/data=!3m1!4b1!4m6!3m5!1s0x929e1d2d17df0d15:0x9d7cb347986f0339!8m2!3d-0.03204!4d-51.1775092!16s%2Fg%2F11y9pfs_x8?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Vulpix Espaço Saúde,,(96) 99901-4581,https://portal.vulpixsaude.com.br/,"Av. Procópio Rola, 128 - Centro, Macapá - AP, 68900-081","5,0",21,,,https://www.google.com/maps/place/Vulpix+Espa%C3%A7o+Sa%C3%BAde/data=!4m7!3m6!1s0x8d61e1a4e9a82d1b:0xb9c164b33d4475ba!8m2!3d0.041435!4d-51.0540878!16s%2Fg%2F11gh00typh!19sChIJGy2o6aThYY0RunVEPbNkwbk?authuser=0&hl=pt-BR&rclk=1
